COMMON NAME,SCIENTIFIC NAME,HAWAIIAN ISLANDS,NWHI,SEHI
Pomarine Jaeger,Stercorarius pomarinus,W,M,W
Puaiohi,Myadestes palmeri,R,,R
Red Avadavat,Amandava amandava,N,,N
Red Junglefowl,Gallus gallus,N,,N
Red Knot,Calidris canutus,V,V,V
Red Phalarope,Phalaropus fulicarius,W,W,W
Red-billed Leiothrix,Leiothrix lutea,N,,N
Red-billed Tropicbird,Phaethon aethereus,V,V,V
Red-breasted Merganser,Mergus serrator,V,V,V
Red-crested Cardinal,Paroaria coronata,N,,N
Red-crowned Parrot,Amazona viridigenalis,N,,N
Red-footed Booby,Sula sula,B,B,B
Red-masked Parakeet,Psitticara erythrogenys,N,,N
Red-necked Grebe,Podiceps grisegena,V,,V
Red-necked Phalarope,Phalaropus lobatus,V,V,V
Red-necked Stint,Calidris ruficollis,V,V,V
Red-tailed Tropicbird,Phaethon rubricauda,B,B,B
Red-throated Pipit,Anthus cervinus,V,V,
Red-vented Bulbul,Pycnonotus cafer,N,,N
Red-whiskered Bulbul,Pycnonotus jocosus,N,,N
Redhead,Aythya americana,V,,V
Rhinoceros Auklet,Cerorhinca monocerata,V,V,
Ring-billed Gull,Larus delawarensis,W,V,W
Ring-necked Duck,Aythya collaris,W,V,W
Ring-necked Pheasant,Phasianus colchicus,N,,N
Rock Pigeon,Columba livia,N,n,N
Rose-ringed Parakeet,Psittacula krameri,N,,N
Rough-legged Hawk,Buteo lagopus,V,V,V
Ruddy Duck,Oxyura jamaicensis,V,,V
Ruddy Turnstone,Arenaria interpres,W,W,W
Ruff,Calidris pugnax,M,M,M
Saffron Finch,Sicalis flaveola,N,,N
Salvin's Albatross,Thalassarche salvini,V,V,
Sanderling,Calidris alba,W,M,W
Sandhill Crane,Antigone canadensis,V,,V
Sandwich Tern,Thallasseus sandvicensis,V,,V
Savannah Sparrow,Passerculus sandwichensis,V,V,
Scaly-breasted Munia,Lonchura punctulata,N,,N
Semipalmated Plover,Charadrius semipalmatus,W,W,W
Semipalmated Sandpiper,Calidris pusilla,V,,V
Sharp-tailed Sandpiper,Calidris acuminata,M,M,M
Short-billed Dowitcher,Limnodromus griseus,V,V,V
Short-eared Owl,Asio flammeus,R,W,R
Short-tailed Albatross,Phoebastria albatrus,B,B,M
Short-tailed Shearwater,Ardenna tenuirostris,M,M,M
Slaty-backed Gull,Larus schistisagus,V,W,V
Snow Bunting,Plectrophenax nivalis,V,V,
Snow Goose,Chen caerulescens,V,V,V
Snowy Egret,Egretta thula,V,,V
Snowy Owl,Bubo scandiacus,V,,V
Solitary Sandpiper,Tringa solitaria,V,,V
Sooty Shearwater,Ardenna grisea,M,M,M
Sooty Tern,Onychoprion fuscatus,B,B,B
Sora,Porzana carolina,V,,V
South Polar Skua,Stercorarius maccormicki,M,M,M
Spotted Dove,Streptopelia chinensis,N,,N
Spotted Redshank,Tringa erythropus,V,,V
Spotted Sandpiper,Actitis macularius,V,V,V
Stejneger's Petrel,Pterodroma longirostris,M,M,M
Steller's Sea-Eagle,Haliaeetus pelagicus,V,V,
Stilt Sandpiper,Calidris himantopus,V,,V
Streaked Shearwater,Calonectris leucomelas,V,V,V
Surf Scoter,Melanitta perspicillata,V,,V
Surfbird,Calidris virgata,V,,V
Tahiti Petrel,Pterodroma rostrata,V,V,V
Terek Sandpiper,Xenus cinereus,V,,V
Tristram's Storm-Petrel,Oceanodroma tristrami,B,B,M
Tufted Duck,Aythya fuligula,V,V,V
Tundra Swan,Cygnus columbianus,V,V,V
Ula-'ai-hawane,Ciridops anna,X,,X
Varied Tit,Parus varius,x,,x
Wandering Tattler,Tringa incana,W,W,W
Wedge-tailed Shearwater,Ardenna pacifica,B,B,B
Western Gull,Larus occidentalis,V,,V
Western Meadowlark,Sturnella neglecta,N,n,N
Western Sandpiper,Calidris mauri,W,V,W
Whimbrel,Numenius phaeopus,W,W,W
Whiskered Tern,Chlidonias hybrida,V,V,
White Tern,Gygis alba,B,B,B
White-faced Ibis,Plegadis chihi,V,,V
White-necked Petrel,Pterodroma cervicalis,M,M,M
White-rumped Sandpiper,Calidris fuscicollis,V,,V
White-rumped Shama,Copsychus malabaricus,N,,N
White-tailed Eagle,Haliaeetus albicilla,V,,V
White-tailed Tropicbird,Phaethon lepturus,B,B,B
White-winged Tern,Chlidonias leucopterus,V,,V
Wild Turkey,Meleagris gallopavo,N,,N
Willet,Tringa semipalmata,V,,V
Wilson's Phalarope,Phalaropus tricolor,V,V,V
Wilson's Snipe,Gallinago delicata,W,V,W
Wilson's Storm-Petrel,Oceanites oceanicus,M,M,M
Wood Sandpiper,Tringa glareola,V,V,V
Yellow-billed Cardinal,Paroaria capitata,N,,N
Yellow-billed Cuckoo,Coccyzus americanus,V,V,
Yellow-faced Grassquit,Tiaris olivaceus,N,,N
Yellow-fronted Canary,Serinus mozambicus,N,,N
Zebra Dove,Geopelia striata,N,,N
